Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err,DefPen,Def3rdT,Mid3rdT,Att3rdT,AttPen,DeadBall,AerialDuel,Goals,xG,,Player
England,135,71,55,62,18,39,87,44.8,48,74,9,65,70,98,8,353,1281,2435,1099,183,356,58.1,13,15.3,,England
EnglandOpp,128,76,61,50,17,42,116,36.2,74,84,21,63,92,148,3,445,1309,1594,663,105,338,41.9,5,5.6,,EnglandOpp
France,106,71,40,49,17,27,52,51.9,25,44,7,37,56,53,1,162,693,1609,1006,151,326,63.6,10,11.1,,France
FranceOpp,120,83,84,29,7,46,94,48.9,48,81,24,57,69,143,2,384,1239,960,308,34,292,36.4,3,2.9,,FranceOpp
Germany,101,50,44,45,12,25,54,46.3,29,57,18,39,50,92,1,258,1028,1339,788,114,274,56.6,10,11.2,,Germany
GermanyOpp,115,73,56,53,6,44,85,51.8,41,71,17,54,62,122,3,284,925,1170,478,72,264,43.4,2,4.9,,GermanyOpp
Italy,115,72,68,38,9,49,92,53.3,43,77,21,56,44,122,0,364,993,1026,469,61,287,54.1,9,7.9,,Italy
ItalyOpp,81,45,36,34,11,29,64,45.3,35,53,10,43,50,90,1,275,981,1268,813,118,274,45.9,4,6.3,,ItalyOpp
Netherlands,182,114,91,76,15,71,149,47.7,78,85,15,70,98,147,1,346,1439,2298,1120,138,382,56.1,11,10.7,,Netherlands
NetherlandsOpp,155,96,91,54,10,69,125,55.2,56,78,25,53,85,156,2,409,1348,1789,720,101,382,43.9,5,9.2,,NetherlandsOpp
Norway,87,60,49,27,11,34,71,47.9,37,69,24,45,50,111,1,386,1162,1288,582,104,279,48.8,5,6,,Norway
NorwayOpp,95,62,50,39,6,44,82,53.7,38,77,18,59,67,86,2,267,854,1369,793,138,262,51.2,7,10.1,,NorwayOpp
Sweden,131,78,47,68,16,50,87,57.5,37,76,17,59,66,145,0,365,1134,1928,1140,191,388,49,12,13.2,,Sweden
SwedenOpp,178,112,96,67,15,85,148,57.4,63,83,14,69,95,153,4,470,1652,1966,886,129,389,51,5,8,,SwedenOpp
USA,117,74,49,52,16,41,87,47.1,46,59,14,45,79,98,3,268,1048,2181,1216,229,358,56.7,25,20.2,,USA
USAOpp,179,102,106,62,11,56,130,43.1,74,71,20,51,86,184,1,449,1414,1632,584,64,392,43.3,3,4.2,,USAOpp
Average,121.75,73.75,55.375,52.125,14.25,42,84.875,49.5625,42.875,67.625,15.625,52,64.125,108.25,1.875,312.75,1097.25,1763,927.5,146.375,331.25,55.375,11.875,11.95,,Average
AverageOpp,131.375,81.125,72.5,48.5,10.375,51.875,105.5,48.95,53.625,74.75,18.625,56.125,75.75,135.25,2.25,372.875,1215.25,1468.5,655.625,95.125,324.125,44.625,4.25,6.4,,AverageOpp
,,,,,,,,,,,,,,,,,,,,,,,,,,
England,1.0546875,0.934210526,0.901639344,1.24,1.058823529,0.928571429,0.75,1.237569061,0.648648649,0.880952381,0.428571429,1.031746032,0.760869565,0.662162162,2.666666667,0.793258427,0.978609626,1.527603513,1.657616893,1.742857143,1.053254438,1.386634845,2.6,2.732142857,,England
France,0.883333333,0.855421687,0.476190476,1.689655172,2.428571429,0.586956522,0.553191489,1.061349693,0.520833333,0.543209877,0.291666667,0.649122807,0.811594203,0.370629371,0.5,0.421875,0.559322034,1.676041667,3.266233766,4.441176471,1.116438356,1.747252747,3.333333333,3.827586207,,France
Germany,0.87826087,0.684931507,0.785714286,0.849056604,2,0.568181818,0.635294118,0.893822394,0.707317073,0.802816901,1.058823529,0.722222222,0.806451613,0.754098361,0.333333333,0.908450704,1.111351351,1.144444444,1.648535565,1.583333333,1.037878788,1.304147465,5,2.285714286,,Germany
Italy,1.419753086,1.6,1.888888889,1.117647059,0.818181818,1.689655172,1.4375,1.176600442,1.228571429,1.452830189,2.1,1.302325581,0.88,1.355555556,0,1.323636364,1.012232416,0.809148265,0.576875769,0.516949153,1.047445255,1.178649237,2.25,1.253968254,,Italy
Netherlands,1.174193548,1.1875,1,1.407407407,1.5,1.028985507,1.192,0.864130435,1.392857143,1.08974359,0.6,1.320754717,1.152941176,0.942307692,0.5,0.84596577,1.067507418,1.28451649,1.555555556,1.366336634,1,1.277904328,2.2,1.163043478,,Netherlands
Norway,0.915789474,0.967741935,0.98,0.692307692,1.833333333,0.772727273,0.865853659,0.891992551,0.973684211,0.896103896,1.333333333,0.762711864,0.746268657,1.290697674,0.5,1.445692884,1.360655738,0.940832725,0.733921816,0.753623188,1.064885496,0.953125,0.714285714,0.594059406,,Norway
Sweden,0.735955056,0.696428571,0.489583333,1.014925373,1.066666667,0.588235294,0.587837838,1.00174216,0.587301587,0.915662651,1.214285714,0.855072464,0.694736842,0.947712418,0,0.776595745,0.686440678,0.980671414,1.286681716,1.480620155,0.997429306,0.960784314,2.4,1.65,,Sweden
USA,0.653631285,0.725490196,0.462264151,0.838709677,1.454545455,0.732142857,0.669230769,1.092807425,0.621621622,0.830985915,0.7,0.882352941,0.918604651,0.532608696,3,0.59688196,0.74115983,1.336397059,2.082191781,3.578125,0.913265306,1.309468822,8.333333333,4.80952381,,USA
Average,0.926736441,0.909090909,0.763793103,1.074742268,1.373493976,0.809638554,0.80450237,1.012512768,0.7995338,0.904682274,0.838926174,0.926503341,0.846534653,0.800369686,0.833333333,0.838752933,0.902900638,1.200544774,1.414680648,1.538764783,1.02198226,1.240896359,2.794117647,1.8671875,,Average
