,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
England,135,71,55,62,18,39,87,44.8,48,74,9,65,70,98,8
EnglandOpp,128,76,61,50,17,42,116,36.2,74,84,21,63,92,148,3
France,106,71,40,49,17,27,52,51.9,25,44,7,37,56,53,1
FranceOpp,120,83,84,29,7,46,94,48.9,48,81,24,57,69,143,2
Germany,101,50,44,45,12,25,54,46.3,29,57,18,39,50,92,1
GermanyOpp,115,73,56,53,6,44,85,51.8,41,71,17,54,62,122,3
Italy,115,72,68,38,9,49,92,53.3,43,77,21,56,44,122,0
ItalyOpp,81,45,36,34,11,29,64,45.3,35,53,10,43,50,90,1
Netherlands,182,114,91,76,15,71,149,47.7,78,85,15,70,98,147,1
NetherlandsOpp,155,96,91,54,10,69,125,55.2,56,78,25,53,85,156,2
Norway,87,60,49,27,11,34,71,47.9,37,69,24,45,50,111,1
NorwayOpp,95,62,50,39,6,44,82,53.7,38,77,18,59,67,86,2
Sweden,131,78,47,68,16,50,87,57.5,37,76,17,59,66,145,0
SwedenOpp,178,112,96,67,15,85,148,57.4,63,83,14,69,95,153,4
USA,117,74,49,52,16,41,87,47.1,46,59,14,45,79,98,3
USAOpp,179,102,106,62,11,56,130,43.1,74,71,20,51,86,184,1
Average,121.75,73.75,55.375,52.125,14.25,42,84.875,49.5625,42.875,67.625,15.625,52,64.125,108.25,1.875
AverageOpp,131.375,81.125,72.5,48.5,10.375,51.875,105.5,48.95,53.625,74.75,18.625,56.125,75.75,135.25,2.25
