Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err,DefPen,Def3rdT,Mid3rdT,Att3rdT,AttPen,DeadBall,AerialDuel,Goals,xG
England,135,71,55,62,18,39,87,44.8,48,74,9,65,70,98,8,353,1281,2435,1099,183,356,58.1,13,15.3
EnglandOpp,128,76,61,50,17,42,116,36.2,74,84,21,63,92,148,3,445,1309,1594,663,105,338,41.9,5,5.6
France,106,71,40,49,17,27,52,51.9,25,44,7,37,56,53,1,162,693,1609,1006,151,326,63.6,10,11.1
FranceOpp,120,83,84,29,7,46,94,48.9,48,81,24,57,69,143,2,384,1239,960,308,34,292,36.4,3,2.9
Germany,101,50,44,45,12,25,54,46.3,29,57,18,39,50,92,1,258,1028,1339,788,114,274,56.6,10,11.2
GermanyOpp,115,73,56,53,6,44,85,51.8,41,71,17,54,62,122,3,284,925,1170,478,72,264,43.4,2,4.9
Italy,115,72,68,38,9,49,92,53.3,43,77,21,56,44,122,0,364,993,1026,469,61,287,54.1,9,7.9
ItalyOpp,81,45,36,34,11,29,64,45.3,35,53,10,43,50,90,1,275,981,1268,813,118,274,45.9,4,6.3
Netherlands,182,114,91,76,15,71,149,47.7,78,85,15,70,98,147,1,346,1439,2298,1120,138,382,56.1,11,10.7
NetherlandsOpp,155,96,91,54,10,69,125,55.2,56,78,25,53,85,156,2,409,1348,1789,720,101,382,43.9,5,9.2
Norway,87,60,49,27,11,34,71,47.9,37,69,24,45,50,111,1,386,1162,1288,582,104,279,48.8,5,6
NorwayOpp,95,62,50,39,6,44,82,53.7,38,77,18,59,67,86,2,267,854,1369,793,138,262,51.2,7,10.1
Sweden,131,78,47,68,16,50,87,57.5,37,76,17,59,66,145,0,365,1134,1928,1140,191,388,49,12,13.2
SwedenOpp,178,112,96,67,15,85,148,57.4,63,83,14,69,95,153,4,470,1652,1966,886,129,389,51,5,8
USA,117,74,49,52,16,41,87,47.1,46,59,14,45,79,98,3,268,1048,2181,1216,229,358,56.7,25,20.2
USAOpp,179,102,106,62,11,56,130,43.1,74,71,20,51,86,184,1,449,1414,1632,584,64,392,43.3,3,4.2
Average,121.75,73.75,55.375,52.125,14.25,42,84.875,49.5625,42.875,67.625,15.625,52,64.125,108.25,1.875,312.75,1097.25,1763,927.5,146.375,331.25,55.375,11.875,11.95
AverageOpp,131.375,81.125,72.5,48.5,10.375,51.875,105.5,48.95,53.625,74.75,18.625,56.125,75.75,135.25,2.25,372.875,1215.25,1468.5,655.625,95.125,324.125,44.625,4.25,6.4
